Title,Article,Summary,Statement,True statement
Siraha District,"Siraha District (Nepali: सिराहा जिल्ला; ), a district in Madhesh Province, is one of the seventy-seven districts of Nepal. It is situated in the Terai belt of Nepal. The  district, with Siraha as its district headquarters, covers an area of 1,188 km2 (459 sq mi). It has population of 637,328 according to census of 2011.The District is bordered with Saptari district in the east, Udayapur districting the north, Bihar state of India in the south and Dhanusa district in the west. Majority of the population here is Yadav, Tharus, Sahs(sahukar), Muslims and ethnic minorities with majority population speaking Maithili language and Nepali language.
Lahan is so far one of the most developed towns of Siraha and is popular for Sagarmatha Chaudhary Eye Hospital. It lies in Mahendra highway.
Thadi (Nepali: ठाड़ी) or Thadi Viswaspatti is the main entry point for the district form India and a very old border town and a market place of Nepal in Siraha District bordering Indian town of Laukaha.
Thadi is one of the few towns which is a part of agreed route for Mutual Trade between India and Nepal. Nepal Government has set up a dedicated customs office in the town. The town connects Lahan to India.


== Infrastructure ==
There are no airports in this district but Rajbiraj Airport in nearby Saptari District is the nearest airport to the district, roughly 28–58 km away from various locations. Shree Airlines operates daily flights between Rajbiraj and KathmanduThadi in Siraha is a part of one of the agreed route for Mutual Trade and custom point between India and Nepal. Nepal Government has set up a dedicated customs office in the town and Government of India has set up a Land Customs Station. So in simple import and export are allowed through this point.
The largest town is Lahan, where there is a popular eye hospital called Sagarmatha Choudhary Eye Hospital, Lahan.


== Transportation ==
The district is well connected with Mahendra Highway as this national Highway passes right through the district while connecting all the major towns. Other rural municipalities are also well connected by Postal Highway which is under construction and taking shape rapidly. Another major project i.e. East-West Railway also will run through this district in future and is in the process of development.


== Geography and Climate ==


== Demographics ==
At the time of the 2011 Nepal census, Siraha District had a population of 637,328.
As their first language, 85.9% spoke Maithili, 4.2% Nepali, 3.6% Urdu, 2.7% Tharu, 1.0% Tamang, 0.8% Magar 0.2% Danuwar, 0.2% Newar, 0.2% Sunuwar, 0.1% Hindi, 0.1% Rai, 0.1% Rajasthani, 0.1% Uranw/Urau  and 0.1% other languages.Ethnicity/caste: 24.4% were Yadav, 7.5% Musalman, 6.3% Musahar, 6.0% Koiri/Kushwaha, 5.7% Chamar/Harijan/Ram, 4.8% Teli, 4.1% Tharu, 3.7% Dhanuk, 3.3% Dusadh/Paswan/Pasi, 2.7% Sudhi, 2.5% Mallaha, 2.2% Kewat, 2.2% Khatwe, 2.2% Tatma/Tatwa, 2.1% Halwai, 1.7% Danuwar, 1.4% Hajam/Thakur, 1.3% Baraee, 1.1% Magar, 1.1% Tamang, 1.1% other Terai, 1.0% Chhetri, 1.0% Kathabaniyan, 0.9% Hill Brahmin, 0.9% Dhobi, 0.7% Badhaee, 0.6% Kami, 0.6% Kurmi, 0.5% Terai Brahmin, 0.5% Kalwar, 0.5% Newar, 0.5% Sonar, 0.3% Bantar/Sardar, 0.3% Gaderi/Bhedihar, 0.3% Kayastha, 0.3% Kumhar, 0.3% Rai, 0.3% Rajput, 0.2% Bin, 0.2% Damai/Dholi, 0.2% Dom, 0.2% Jhangad/Dhagar, 0.2% Majhi, 0.2% Marwadi, 0.2% Sanyasi/Dasnami, 0.2% Sarki, 0.2% Sunuwar, 0.1% Bengali, 0.1% Gharti/Bhujel, 0.1% Halkhor, 0.1% Kumal, 0.1% Lohar, 0.1% Mali, 0.1% Punjabi/Sikh, 0.1% Thakuri and 0.2% others.Religion: 90.2% were Hindu, 7.5% Muslim, 1.7% Buddhist, 0.1% Christian, 0.1% Kirati, 0.1% Prakriti and 0.4% others.Literacy: 50.1% could read and write, 2.7% could only read and 46.9% could neither read nor write.English and Nepali are two major medium of written and spoken languages used in schools and public and government offices.


== Notable people ==
Dr. Ram Ray, an Associate Professor and Researcher, who has made hundreds of publications and has made contributions to knowledge about landslide hazards.
Tulsi Giri – Former Prime Minister of Nepal (1975-1977), Chairman of Council of Ministers(1963, 1964, 1965)
Pradip Giri – Nepali Congress politician and Member of House of Representatives
Padma Narayan Chaudhary – Nepali Congress politician and former minister and member of House of Representatives
Sita Devi Yadav – Nepali Congress treasurer and member of House of Representatives
Chitralekha Yadav – Nepali Congress politician and Member of House of Representatives, Former Education Minister
Santosh Shah (sahukar) – Nepali Chef
Dharmanath Prasad Sah, Deputy chairman of CPN (Unified Socialist)
Lila Nath Shrestha, CPN (UML), leader and former minister
Mohammad Khalid Siddiqui, People's Socialist Party, Nepal Member of Rastriya Sabha
Dr. Ganesh Kumar Mandal, Nepali Congress, Nepal Elected Member of  Second Constituent Assembly from Siraha-6]]


== Education ==
Surya Narayan Satya Narayan Marbaita Multiple Campus (Tribhuvan University)
JS Murarka Campus (Tribhuvan University)
Sagarmatha Higher School
Lahan Technical Institute (CTEVT)
Little Star School


== Administration ==
The district consists of seventeen municipalities, out of which eight are urban municipalities and nine are rural municipalities. These are as follows:
Lahan Municipality
Dhangadhimai Municipality
Siraha Municipality
Golbazar Municipality
Mirchaiya Municipality
Kalyanpur Municipality
Karjanha Municipality
Sukhipur Municipality
Bhagwanpur Rural Municipality
Aurahi Rural Municipality
Bishnupur Rural Municipality
Bariyarpatti Rural Municipality
Lakshmipur Patari Rural Municipality
Naraha Rural Municipality
Sakhuwanankar Katti Rural Municipality
Arnama Rural Municipality
Navarajpur Rural Municipality


=== Former Village Development Committees (VDCs) and Municipalities ===


== See also ==
Zones of Nepal
Paudhur


== References ==

""Districts of Nepal"". Statoids.","Siraha District (Nepali: सिराहा जिल्ला; ), a district in Madhesh Province, is one of the seventy-seven districts of Nepal. It is situated in the Terai belt of Nepal. The  district, with Siraha as its district headquarters, covers an area of 1,188 km2 (459 sq mi).","Siraha District is in Madhesh Province, Nepal.",1
Flying Camel,"Flying Camel Football Team (Chinese: 飛駝足球隊; pinyin: Fēi Tuó Zúqiú Duì) was a Taiwanese football team. The team was established on July 21, 1973 and belonged to the Combined Logistics Command of the Republic of China. They had played in Taiwan's first-ranked National Football League since 1982 and won 5 championships (1983, 1984, 1985, 1988, and 1993) before disbandment.


== Honours ==
National Football LeagueChampions (5): 1983, 1984, 1985, 1988, 1993
Runners-up (3): 1986, 1987, 1989CTFA CupChampions (5): 1974, 1979, 1980, 1981, 1982


== See also ==
Football in Taiwan","Flying Camel Football Team (Chinese: 飛駝足球隊; pinyin: Fēi Tuó Zúqiú Duì) was a Taiwanese football team. The team was established on July 21, 1973 and belonged to the Combined Logistics Command of the Republic of China.","Flying Camel Football Team was established on July 21, 1973.",1
Richard Miranda (politician),"Richard Miranda (born March 6, 1956) is a former Democratic member of the Arizona Senate, representing the 13th District from 2002 to 2011. Previously, he was a member of the Arizona House of Representatives from 1999 through 2002.
In February 2012, Miranda resigned from the Arizona legislature citing health and family issues. In March 2012, he pleaded guilty to wire fraud and tax evasion for stealing $250,000 from a charity which he ran. On June 4, he was sentenced to 27 months in federal prison and will have to pay back the hundreds of thousands of dollars he stole from two non-profit organizations.


== References ==


== External links ==
Arizona State Legislature – Senator Richard Miranda
Project Vote Smart – Senator Richard Miranda (AZ) profile
Follow the Money – Richard Miranda
2006 2004 2002 2000 1998 campaign contributions","Richard Miranda (born March 6, 1956) is a former Democratic member of the Arizona Senate, representing the 13th District from 2002 to 2011. Previously, he was a member of the Arizona House of Representatives from 1999 through 2002.
 In February 2012, Miranda resigned from the Arizona legislature citing health and family issues.",Richard Miranda resigned from Arizona legislature in 2012.,1
Dayco,"Dayco Products, formerly known as Mark IV Industries, is an American parts supplier for construction, automotive, and industrial companies. The companies annual earnings are approximately US$150 million.  Its main customers include Caterpillar and General Motors.


== History ==
Dayco was founded in 1905 as Dayton Rubber Manufacturing Co. by Col. J. C. Hooven in Ohio. The company initially made products such as garden hoses out of natural rubber. In 1908, the company hired John A. MacMillan, and began creating his product, the airless tire. The company also produced the first whitewall tires in 1913. Beginning in the early 1920s, the company entered a diversification period when it radically increased the variety of its products. Dayco would eventually make many different rubber parts, as well as some textiles. It also pioneered some synthetic rubber products, including developing the first synthetic rubber tire. The company would be a valuable supplier of military products during World War II. The company officially changed its name to the DAYCO Corporation in 1960.


== Controversies ==
Dayco filed for bankruptcy protection in April 2009, and emerged from bankruptcy approximately 6 months later.  It eliminated about $750 million in debt during the bankruptcy. In 2015, Dayco attracted controversy when it announced it would be closing its two Distribution Centers in North Carolina  and one in Nevada.  Dayco was consolidating into its Memphis, Tennessee Distribution Facility.  The move attracted media attention and resulted in several hundred jobs being lost.


== References ==


== External links ==
Official website","Dayco Products, formerly known as Mark IV Industries, is an American parts supplier for construction, automotive, and industrial companies. The companies annual earnings are approximately US$150 million.   Its main customers include Caterpillar and General Motors.


 == History ==
Dayco was founded in 1905 as Dayton Rubber Manufacturing Co. by Col. J. C. Hooven in Ohio. The company initially made products such as garden hoses out of natural rubber.",Dayco is an American parts supplier for various industries.,1
Jean-Pierre Wintenberger,"Jean-Pierre Wintenberger (1954 – 23 January 2019) was a French mathematician and a professor of mathematics at the University of Strasbourg. He was corecipient of the 2011 Cole Prize in number theory, along with Chandrashekhar Khare, for his proof of Serre's modularity conjecture.Wintenberger earned his Ph.D. at Joseph Fourier University in 1984, under supervision of Jean-Marc Fontaine.
Wintenberger died on 23 January 2019.


== References ==


== External links ==
Jean-Pierre Wintenberger at the Mathematics Genealogy Project","Jean-Pierre Wintenberger (1954 – 23 January 2019) was a French mathematician and a professor of mathematics at the University of Strasbourg. He was corecipient of the 2011 Cole Prize in number theory, along with Chandrashekhar Khare, for his proof of Serre's modularity conjecture. Wintenberger earned his Ph.D. at Joseph Fourier University in 1984, under supervision of Jean-Marc Fontaine.
",Wintenberger won the 2011 Cole Prize in number theory.,1
Val Pinchbeck,"Valjean A. Pinchbeck, Jr. (February 16, 1931 – March 6, 2004) was an American football executive on both the college and professional level.


== Biography ==
Pinchbeck was born on February 16, 1931, in Syracuse, New York.  Best known as an NFL broadcast official, he was known for organising the NFL schedule annually.  He died while crossing a Manhattan street and subsequently hit by a cab, he was pronounced dead at the scene.Today, the room where the NFL organises the scheduling matrix annually is known as the Valjean A. Pinchbeck, Jr. Room.  Pinchbeck was inducted into the Sports Broadcasting Hall of Fame in 2008 by Paul Tagliabue, with the award presented to sons James and Valjean III.


== References ==","Valjean A. Pinchbeck, Jr. (February 16, 1931 – March 6, 2004) was an American football executive on both the college and professional level.


 == Biography ==
Pinchbeck was born on February 16, 1931, in Syracuse, New York.   Best known as an NFL broadcast official, he was known for organising the NFL schedule annually.  ",Val Pinchbeck was an NFL broadcast official.,1
Balance (2013 book),"Balance: The Economics of Great Powers from Ancient Rome to Modern America, known colloquially as Balance is a non-fiction economic history text written by former US intelligence officer and economist Captain Tim Kane and economist Glenn Hubbard. While criticized for its brevity across a wide range of historical matters, it has become an often cited text in the debate around American Isolationism and fiscal policy.


== Summary ==
The text's principal concern is why economic imbalances have historically caused civil collapse, and asks whether The United States could experience a similar decline. The book summarizes the fall of a range of civilizations, including the Ming Dynasty, Ottoman Turkey and Imperial Spain, and reflects on the resulting patterns within their socioeconomic, military and political policies.From this, Kane and Hubbard introduce a new measure of economic power, based around fiscal balance, national debt and social spending. The text is particularly critical of heavy regulation on internal employment, markets and trade, highlighting the limits of the Japanese model of growth, including an ageing population. The book concludes with a comparison of the twenty-first century United States to former fallen civilizations, and the challenges Americans face in order to address what Kane and Hubbard regard as ""dysfunctional fiscal imbalance"".


== Reception ==
The book received mixed to positive reviews during the initial release, with The New York Times describing the book's analysis of imperial history as ""one-dimensional"" but praising the book's overall focus on domestic issues as ""dead-on"". The Financial Times described the book as ""a readable, data-rich history of the fall of great powers through the eyes of two fiscally troubled US conservatives in 2013.""The book has found success in political debate circles, and is often cited within other socioeconomic texts and analysis.


== References ==","Balance: The Economics of Great Powers from Ancient Rome to Modern America, known colloquially as Balance is a non-fiction economic history text written by former US intelligence officer and economist Captain Tim Kane and economist Glenn Hubbard. While criticized for its brevity across a wide range of historical matters, it has become an often cited text in the debate around American Isolationism and fiscal policy.


",Controversial text on economics and historical matters.,1
Glovelier railway station,"Glovelier railway station (French: Gare de Glovelier) is a railway station in the former municipality of Glovelier, now part of Haute-Sorne, in the Swiss canton of Jura. It is an intermediate stop on the standard gauge Delémont–Delle line of Swiss Federal Railways and the eastern terminus of the 1,000 mm (3 ft 3+3⁄8 in) gauge La Chaux-de-Fonds–Glovelier line of Chemins de fer du Jura.


== Services ==
As of the December 2020 timetable change, the following services stop at Glovelier:
RegioExpress / Basel S-Bahn S3: half-hourly service between Porrentruy and Delémont; hourly service to Meroux / Delle, Biel/Bienne, and Olten.
Regio: hourly service to La Chaux-de-Fonds.


== References ==


== External links ==
 Media related to Glovelier railway station at Wikimedia Commons
Glovelier railway station – SBB","Glovelier railway station (French: Gare de Glovelier) is a railway station in the former municipality of Glovelier, now part of Haute-Sorne, in the Swiss canton of Jura.",Glovelier railway station is in Switzerland.,1
Joseph Bernardo,"Joseph Bernardo (born 31 May 1929) is a French swimmer and Olympic medalist. He married actress and theater director Simone Turck in 1952.


== Career ==
Bernardo was born in Algiers, French Algeria. He competed at the 1952 Olympic Games in Helsinki, where he received a bronze medal in 4 x 200 m freestyle relay with the French swimming team (with Jean Boiteux, Aldo Eminente and Alexandre Jany).


== References ==


== External links ==
Joseph Bernardo at Olympedia","Joseph Bernardo (born 31 May 1929) is a French swimmer and Olympic medalist. He married actress and theater director Simone Turck in 1952.


 == Career ==
Bernardo was born in Algiers, French Algeria. He competed at the 1952 Olympic Games in Helsinki, where he received a bronze medal in 4 x 200 m freestyle relay with the French swimming team (with Jean Boiteux, Aldo Eminente and Alexandre Jany).


",Joseph Bernardo received a bronze medal in the 4 x 200 m freestyle relay at the,1
Ho Su-lung,"Ho Su-lung (born 9 September 1940) is a Taiwanese boxer. He competed in the men's lightweight event at the 1968 Summer Olympics.


== References ==","Ho Su-lung (born 9 September 1940) is a Taiwanese boxer. He competed in the men's lightweight event at the 1968 Summer Olympics.


 == References ==",Ho Su-lung competed in the 1968 Summer Olympics.,1
Utah dual language immersion,"Utah's dual language immersion program was created in 2008 to help students achieve proficiency in a second language in preparation for future careers and the global economy. In the early school years, the students are immersed for half a day in a target language – Mandarin Chinese, French, Spanish, Portuguese, or German – and half a day in English. In high school, students can participate in a bridge program, allowing them to take language classes that would give them concurrent college credit at certain universities throughout Utah. Over 160 schools in Utah participate in the program. Proven benefits include an increased performance on standardized tests, fluency in a target language, and an increased cultural awareness and sensitivity.


== Background ==
Senate Bill 80 (S.B. 80), The Critical Languages Program, sponsored by Senator Howard Stephenson, was passed in 2007, leading to the creation of initiatives that established a Governor's World Language Council; the Utah World Language Roadmap; and eventually the passing of S.B. 41 International Initiatives in 2008, the last of which led to the creation of Utah's dual language immersion program.


== Goals ==
The program's goal is to help students achieve a high enough proficiency level in a second language to be used in a future career as they become participants in a global economy.  Languages available in the program include Spanish, Portuguese, Mandarin Chinese, French, and German. Plans are being made to add Russian and Arabic to the program.


== Model ==
The students are immersed in a foreign language for half of the day, and in English for the other half.
In the immersion language half of the day for grades 1-3, students spend 20% of their school day learning math; 15% in Social stud, Science, Physical Education (P.E.), Art, Health, and Music; and 15% of their day in the target language literacy. For the other half of the day, students spend most of their time in English Language Arts, with the remaining 15% of the school day in English reinforcement of the subjects learned in their immersion language.
In grades 4 and 5, the percentage changes: 25% of the day is spent learning Math and Science in the immersion language, 25% in immersion language literacy, 25% in English Language Arts, 25% in Math and Social Studies in English, while Music, Art, P.E., and Health are taught in both languages.In sixth grade, the learning schedule is mostly the same as in grades 4 and 5, but with a switch; the science and social studies classes have now switched places. Science is now taught in English, and Social Studies is now taught in the immersion language.In the junior high years, students spend more time learning in English, but must take two courses taught in the immersion language: a world languages class, and either Foundations of Social Studies, Health/Humanities, or World Geography.Beginning in Fall 2016, high school students who pass an AP language course and exam in ninth grade will have the option to enroll in the Bridge Program, where they can enroll in one of three courses per school year that, if passed, will award them with concurrent upper-division university credit, leaving students only two credits shy of a minor in their immersion language by the time they arrive at the university. Seven of Utah's universities are involved in this Bridge Program. It began first with the University of Utah, but has expanded to include Brigham Young University, Utah State University, Weber State University, Utah Valley University, Southern Utah University, and Utah Tech University.


== Participating districts ==
The school districts that offer this dual language immersion program, covering 163 schools statewide, include:
Several charter schools are also involved in the DLI program, in Lehi (Chinese), Bluffdale (German), Spanish Fork (Spanish), and Layton (Spanish), Utah.The program is expanding by 20 to 25 schools every year. Most classes in the program are for English-native speakers. However, in areas of the state where there is a higher concentration of Spanish-speaking immigrants, an English Language immersion-style program is available.Utah's DLI program has inspired similar dual language immersion programs throughout the United States, in places like Arizona, Idaho, Wyoming, and South Carolina.


== Benefits ==
Along with second language skills, proven benefits of the DLI program include improved performance on standardized tests, where they perform better, or as well as, students on in an immersion program; increased cultural sensitivity as they become more aware of other world cultures; and more.It is not only the language that the students are immersed in, but the culture as well. In schools where Mandarin is taught, for example, Chinese lanterns decorate the halls, Taiwanese music is played, and native food, like dumplings and pot stickers, is served in the cafeterias. In one school where Spanish is taught, classrooms are decorated with flags from Spanish-speaking countries, posters of Spanish artists, and clocks that show the time in those countries.


== References ==","Utah's dual language immersion program was created in 2008 to help students achieve proficiency in a second language in preparation for future careers and the global economy. In the early school years, the students are immersed for half a day in a target language – Mandarin Chinese, French, Spanish, Portuguese, or German – and half a day in English.",Utah's dual language immersion program was created in 2008.,1
Faraj ben Salim,"Faraj ben Sālim (Arabic: فرج بن سالم, Hebrew: פרג' בן סלומון), also known as Farragut of Girgenti, Moses Farachi of Dirgent, Ferragius, Farragus, or Franchinus or Ferrauto, was a Sicilian-Jewish physician and translator who flourished in the second half of the thirteenth century.


== Work ==
He was engaged by Charles I of Anjou as translator of medical works from Arabic into Latin. In this capacity he rendered a great service to medicine by making in 1279 a Latin translation of Abu Bakr al-Razi's medical encyclopedia, Al-Hawi (later printed in 1486, under the title Continens, with a glossary by the translator). The translation is followed, between the same covers, by De expositionibus vocabulorum seu synonimorum simplicis medicinæ, which Moritz Steinschneider supposes to form a part of the Continens. As a token of his esteem for the translator, Charles of Anjou ordered that on the original copy of the manuscript of the Continens (MS. Bibliothèque nationale de France, Paris, No. 6912) the portrait of Faraj should be drawn beside his own by friar Giovanni of Monte Cassino, the greatest illuminator of his time.
Faraj also translated De medicinis expertis, attributed to Galen and included in the printings of his works by the Giuntas (Venice, 1565: x. 103–109) and René Chartier (Paris, 1679: x. 561–570); and Tacuini Ægritudinum (Tables of Disease, Arabic: Taqwim al-Abdan) by ibn Jazla, published at Strasbourg in 1532. Steinschneider believes that to Faraj should also be ascribed the Latin translation of Masarjawaih's treatise on surgery (MS. Bibliothèque Nationale, Paris, No. 7131), said to have been made by a certain Ferrarius.


== Translations ==
The first folio of the work translated by Faraj ben Sālim, Havi seu contenants (known as Continens) by Zakariya Razi, now preserved at the Bibliothèque nationale de France in Paris.
To the translation in 1279 of Avicenna's ""Medical encyclopedia"" (Arabic for ""al-Hawi fī l-ṭibb""), in 25 volumes, which include medical methodologies of Greece, Syria and Arabia.

De Ex-positionibus Vocabulorum seu Synonimorum Simplicis Medicinae, which Steinschneider supposes to form a part of continens.
Faraj b. Sālim also translated the De medicinis Expertis,attributed to Galen and included in his works.
Another work was the Tacuini Aegritudinum, (Arabic: Taqwīm al-abdān)by Ali ibn Jazla, published in Strasbourg in 1532.
Translated into Sicilian by Faraj was the Tacuinis sanitatis (Tables of Diseases,Arabic Taqwīm al-ṣiḥḥa) whose author was Ibn Buṭlān, a work illustrated with representations of plants in their natural environment, plants of scientific and non-scientific interest within an agricultural calendar.
Steinschneider believes that Faraj should be credited with the Latin translation of Masawayh'sTreatise on, stating that it was prepared by a certain Ferrarius of Girgenti.
Perì agmon, treatise on Hippocrates,also known in Arabic as Kitab al-jabr (i.e. On the Cutting of Bones).
Edemus of Rodhes, Theophrates, Presocratics and other authors, described by Rushed in 1997 in the lost commentary attributed to Alexander the Great, found as simple quotations.


== Notes ==


== External links ==
Jewish Encyclopedia","Faraj ben Sālim (Arabic: فرج بن سالم, Hebrew: פרג' בן סלומון), also known as Farragut of Girgenti, Moses Farachi of Dirgent, Ferragius, Farragus, or Franchinus or Ferrauto, was a Sicilian-Jewish physician and translator who flourished in the second half of the thirteenth century.


",Faraj ben Salim was a physician and translator.,1
Tiny Osborne,"Earnest Preston ""Tiny"" Osborne (April 9, 1893 – January 5, 1969) was an American pitcher in Major League Baseball who played from 1922 to 1925 for the Chicago Cubs and  Brooklyn Robins. His nickname was ironic: Osborne was listed as 6 feet 4 inches (1.93 m) tall and 215 pounds (98 kg).  The native of Porterdale, Georgia, batted left-handed and threw right-handed.
In 142 big-league games pitched, including 74 starting assignments, and 646 innings, Osborne allowed 693 hits and 315 bases on balls. He registered two shutouts, 31 complete games, 263 strikeouts and seven saves.  His professional career began in 1919 and ended in 1935, but he was out of ""organized baseball"" during 1920 and from 1928–34.  His son, Bobo Osborne, was an MLB first baseman and third baseman between 1957 and 1963.


== External links ==
Career statistics and player information from Baseball Reference, or Baseball Reference (Minors)","Earnest Preston ""Tiny"" Osborne (April 9, 1893 – January 5, 1969) was an American pitcher in Major League Baseball who played from 1922 to 1925 for the Chicago Cubs and  Brooklyn Robins. His nickname was ironic: Osborne was listed as 6 feet 4 inches (1.93 m) tall and 215 pounds (98 kg).   The native of Porterdale, Georgia, batted left-handed and threw right-handed.
",Tiny Osborne was 6 feet 4 inches tall.,1
La Florida District,"La Florida District is one of thirteen districts of the province San Miguel in Peru.


== References ==


== More information ==
http://www.atlascajamarca.info/index.php?option=com_content&task=section&id=29&Itemid=75","La Florida District is one of thirteen districts of the province San Miguel in Peru.


 == References ==


== More information ==
http://www.atlascajamarca.info/index.php?option=com_content&task=section&id=29&Itemid=75","La Florida District is in San Miguel province, Peru.",1
Kukshi Assembly constituency,"Kukshi is one of the 230 Vidhan Sabha (Legislative Assembly) constituencies of Madhya Pradesh state in central India. It was founded in 1951 as one of the 79 Vidhan Sabha constituencies of the erstwhile Madhya Bharat state. It is reserved for candidates of the Scheduled tribes.


== Overview ==
Kukshi (constituency number 198) is one of the 7 Vidhan Sabha constituencies located in Dhar district. This constituency covers the Kukshi nagar panchayat and part of Kukshi tehsil of the district.Kukshi is part of Dhar Lok Sabha constituency along with seven other Vidhan Sabha segments, namely, Sardarpur, Gandhwani, Manawar, Dharampuri, Dhar and  Badnawar in this district and Dr. Ambedkar Nagar-Mhow in Indore district.


== Members of the Legislative Assembly ==


=== Madhya Bharat ===
1951,  Ratu Singh Indian National CongressNote: 2011 was a by-poll.


== Election results ==


=== 2023 ===


=== 2013 ===


== References ==","Kukshi is one of the 230 Vidhan Sabha (Legislative Assembly) constituencies of Madhya Pradesh state in central India. It was founded in 1951 as one of the 79 Vidhan Sabha constituencies of the erstwhile Madhya Bharat state. It is reserved for candidates of the Scheduled tribes.


 == Overview ==
Kukshi (constituency number 198) is one of the 7 Vidhan Sabha constituencies located in Dhar district.",Kukshi is reserved for Scheduled tribes candidates.,1
